NAME,VERSION,REPO,HOMEPAGE,DESCRIPTION
fdk-aac,2.0.2-1,main,,"Fraunhofer FDK AAC library, which is purported to be a high quality Advanced Audio Coding implementation"
fdupes,2.1.2-1,main,,"A program for identifying or deleting duplicate files residing within specified directories"
featherpad,1.3.0-1,main,,"lightweight Qt5 plain-text editor"
feh,3.9-1,main,https://feh.finalrewind.org/,"Fast and light imlib2-based image viewer"
fetchmail,6.4.32-1,main,,"A remote-mail retrieval utility "
ffmpeg4,4.4.2-3,main,,"FFmpeg is a solution to record, convert and stream audio and video"
ffmpeg,5.1-1,main,,"FFmpeg is a solution to record, convert and stream audio and video"
ffmpegthumbnailer,2.2.2-2,main,,"Lightweight video thumbnailer that can be used by file managers"
fftw,3.3.10-1,main,,"A library for computing the discrete Fourier transform (DFT)"
figlet,2.2.5-1,main,,"A program for making large letters out of ordinary text"
file,5.42-1,main,,"Utility for determining the type of a given file or files"
filesystem,20210923-1,main,,"Base Venom Linux files"
filezilla,3.60.2-1,main,,"Fast and reliable FTP, FTPS and SFTP client"
fim,0.6-trunk,main,,"fim - fbi improved image viewer"
findutils,4.9.0-1,main,,"Programs to find files"
firefox,103.0.1-1,main,,"Stand-alone browser based on the Mozilla codebase"
firefox-bin,103.0.1-1,main,,"Firefox binary "
firefox-esr,91.12.0-1,main,,"Standalone web browser from mozilla.org, Extended Support Release"
firefox-esr-bin,91.12.0-1,main,,"Standalone web browser from mozilla.org - Extended Support Release "
fish,3.5.1-1,main,,"The user-friendly command line shell "
flac,1.3.4-1,main,,"Audio CODEC similar to MP3, but lossless"
flameshot,12.1.0-1,main,,"flameshot"
flashplugin,32.0.0.465-1,main,,"Adobe Flash Player"
flex,2.6.4-1,main,,"Utility for generating programs that recognize patterns in text"
fltk,1.3.8-1,main,,"Graphical user interface toolkit for X"
fluxbox,1.3.7-1,main,,"A lightweight window manager"
font-adobe-100dpi,1.0.3-2,main,,"X.org 100dpi fonts"
font-adobe-75dpi,1.0.3-2,main,,"X.org 75dpi fonts"
font-adobe-utopia-type1,1.0.4-3,main,,"X.org Type1 fonts"
font-alias,1.0.4-2,main,,"X.org font alias files"
font-bh-ttf,1.0.3-2,main,,"X.org Luxi Truetype fonts"
font-bh-type1,1.0.3-2,main,,"X.org Type1 fonts"
fontconfig,2.14.0-1,main,,"A library and support programs used for configuring and customizing font access"
fontconfig-32,2.14.0-1,multilib,,"A library and support programs used for configuring and customizing font access (32bit)"
font-daewoo-misc,1.0.3-2,main,,"X.org daewoo-misc fonts"
fontforge,20220308-1,main,,"Outline and bitmap font editor"
font-ibm-type1,1.0.3-2,main,,"X.org Type1 fonts"
